"lnm_rate","treated","state","year"
-12.460976600647,1,"Delaware",1937
-7.51221656799316,0,"Delaware",1937
-11.7786684036255,1,"Delaware",1938
-7.56654119491577,0,"Delaware",1938
-12.4825391769409,1,"Delaware",1939
-7.43911361694336,0,"Delaware",1939
-11.3945360183716,1,"Delaware",1940
-7.67286682128906,0,"Delaware",1940
-12.5123176574707,1,"Delaware",1941
-7.43091344833374,0,"Delaware",1941
-11.1448316574097,1,"Delaware",1942
-7.54751968383789,0,"Delaware",1942
-12.5495882034302,1,"Delaware",1943
-7.84005784988403,0,"Delaware",1943
-12.4035625457764,1,"Florida",1925
-7.09628534317017,0,"Florida",1925
-11.3451490402222,1,"Florida",1926
-6.96312284469604,0,"Florida",1926
-11.6069383621216,1,"Florida",1927
-7.08333969116211,0,"Florida",1927
-12.1831426620483,1,"Florida",1928
-7.11513710021973,0,"Florida",1928
-12.5554866790771,1,"Florida",1929
-7.25019407272339,0,"Florida",1929
-12.5901174545288,1,"Florida",1930
-7.2680835723877,0,"Florida",1930
-12.2824592590332,1,"Florida",1931
-7.24922370910645,0,"Florida",1931
-12.4646167755127,1,"Florida",1932
-7.26152610778809,0,"Florida",1932
-11.9810342788696,1,"Florida",1933
-7.33376312255859,0,"Florida",1933
-12.7007026672363,1,"Florida",1934
-7.45052623748779,0,"Florida",1934
-14.335976600647,1,"Florida",1935
-7.53915357589722,0,"Florida",1935
-14.3611621856689,1,"Florida",1936
-7.56210660934448,0,"Florida",1936
-13.6925821304321,1,"Florida",1937
-7.51879549026489,0,"Florida",1937
-13.0234117507935,1,"Florida",1938
-7.51808023452759,0,"Florida",1938
-12.6413631439209,1,"Florida",1939
-7.60983610153198,0,"Florida",1939
-14.4560022354126,1,"Florida",1940
-7.59219932556152,0,"Florida",1940
-13.8078832626343,1,"Florida",1941
-7.66369724273682,0,"Florida",1941
-13.8509702682495,1,"Florida",1942
-7.77562427520752,0,"Florida",1942
-12.9759874343872,1,"Florida",1943
-7.83666563034058,0,"Florida",1943
-11.3857707977295,1,"Georgia",1928
-7.10490465164185,0,"Georgia",1928
-11.1691417694092,1,"Georgia",1929
-7.18196630477905,0,"Georgia",1929
-11.2195882797241,1,"Georgia",1930
-7.18557500839233,0,"Georgia",1930
-11.0618782043457,1,"Georgia",1931
-7.20160579681396,0,"Georgia",1931
-11.9533958435059,1,"Georgia",1932
-7.32173728942871,0,"Georgia",1932
-11.9093647003174,1,"Georgia",1933
-7.41960525512695,0,"Georgia",1933
-12.1397180557251,1,"Georgia",1934
-7.42569351196289,0,"Georgia",1934
-11.7005891799927,1,"Georgia",1935
-7.45782470703125,0,"Georgia",1935
-12.2875146865845,1,"Georgia",1936
-7.47940397262573,0,"Georgia",1936
-12.4487228393555,1,"Georgia",1937
-7.57288980484009,0,"Georgia",1937
-12.4557304382324,1,"Georgia",1938
-7.55478620529175,0,"Georgia",1938
-12.0572242736816,1,"Georgia",1939
