id,time,earnings,age,agesq,school,ethblack,urban,regne,regnc,regw,regs,asvabc
526,0,13.27176189,20,400,12,0,1,0,1,0,0,38.75
527,0,7.711713314,22,484,13,0,1,0,1,0,0,56.75
531,0,13.70971203,22,484,9,0,1,0,1,0,0,34.75
538,0,14.10958004,21,441,11,0,1,0,1,0,0,47
543,0,8.587611198,20,400,12,0,1,0,1,0,0,41.5
545,0,13.17655754,20,400,12,0,1,0,1,0,0,53.5
559,0,8.568570137,19,361,13,0,1,0,1,0,0,61.75
560,0,13.32888412,20,400,14,0,1,0,0,1,0,52.5
569,0,9.520633698,19,361,12,0,1,0,1,0,0,62
577,0,13.32888412,21,441,15,0,1,0,1,0,0,62
578,0,19.23167801,19,361,13,0,1,0,1,0,0,63.75
581,0,10.47269821,21,441,12,0,1,0,1,0,0,62.5
582,0,8.092538834,21,441,12,0,1,0,1,0,0,60.5
583,0,9.711046219,22,484,12,0,1,0,1,0,0,59.25
609,0,6.074163914,18,324,12,0,1,0,1,0,0,47.5
615,0,7.140475273,19,361,10,0,1,0,1,0,0,36.75
616,0,7.235681057,17,289,9,0,1,0,1,0,0,33.5
620,0,12.0912056,22,484,11,1,1,0,1,0,0,31
626,0,5.712380409,22,484,12,0,1,0,1,0,0,46.5
627,0,9.653920174,22,484,12,0,1,0,1,0,0,61.5
631,0,11.36763668,21,441,11,0,1,0,1,0,0,43.25
633,0,10.81544113,22,484,12,0,1,0,1,0,0,57.5
634,0,7.673631191,20,400,12,0,1,0,1,0,0,50
638,0,6.664442062,18,324,12,0,0,0,1,0,0,51
647,0,9.196929932,19,361,12,0,1,0,1,0,0,49.75
677,0,6.416907787,18,324,12,1,1,0,1,0,0,49.5
678,0,10.22515774,18,324,12,1,1,0,1,0,0,39
679,0,7.616507053,22,484,12,1,1,0,1,0,0,37.25
680,0,7.616507053,20,400,12,1,1,0,1,0,0,39.75
684,0,18.08920288,20,400,12,0,1,0,1,0,0,44.25
697,0,19.99332809,23,529,12,0,1,0,1,0,0,43
699,0,7.616507053,22,484,15,0,1,0,1,0,0,46.75
700,0,5.902792454,17,289,10,0,1,0,1,0,0,42
705,0,7.787878513,21,441,12,0,1,0,1,0,0,57.75
711,0,6.188412666,18,324,12,0,1,0,1,0,0,46.25
712,0,11.42476082,20,400,12,0,1,0,1,0,0,61.5
715,0,8.568570137,21,441,10,0,1,0,1,0,0,42.75
716,0,8.568570137,19,361,12,0,1,0,1,0,0,40.25
718,0,10.47269821,20,400,12,0,1,0,1,0,0,55.5
719,0,8.568570137,21,441,12,0,1,0,1,0,0,34.75
729,0,18.56523895,21,441,12,0,1,0,1,0,0,58.25
730,0,9.139808655,19,361,12,0,0,0,1,0,0,56
731,0,9.292136192,22,484,12,0,0,0,1,0,0,54.5
732,0,8.092538834,20,400,12,0,0,0,1,0,0,53
738,0,18.184412,22,484,12,0,0,0,1,0,0,52
739,0,5.712380409,21,441,12,0,0,0,1,0,0,47.5
745,0,10.47269821,23,529,12,1,1,0,1,0,0,47
767,0,5.940876007,17,289,9,0,1,0,1,0,0,39.75
772,0,13.72875595,20,400,12,0,1,0,1,0,0,53.25
